src,dest,value
Adam,Pison,2
Adam,Eve,15
Cain,Eve,6
Abel,Cain,49
Cain,Enoch,6
Enoch,Mehujael,6
Lamech,Mehujael,6
Adah,Lamech,6
Adah,Zillah,6
Jabal,Zillah,10
Tubalcain,Zillah,6
Naamah,Tubalcain,6
Lamech,Naamah,5
Lamech,Zillah,12
Cain,Lamech,12
Adam,Lamech,6
Abel,Adam,4
Cain,Enos,6
Adam,Enos,6
Adam,Seth,17
Enos,Seth,29
Enos,Jared,4
Enoch,Jared,6
Enoch,Lamech,6
Lamech,Noah,30
Japheth,Noah,41
Noah,Shem,26
Ham,Shem,6
Ham,Noah,6
Japheth,Shem,18
Japheth,Meshech,6
Gomer,Meshech,5
Gomer,Mizraim,5
Cush,Mizraim,6
Accad,Cush,5
Accad,Mizraim,5
Ludim,Mizraim,6
Ludim,Philistim,6
Girgasite,Philistim,5
Girgasite,Zemarite,5
Hamathite,Zemarite,6
Gomorrah,Hamathite,6
Gomorrah,Lasha,6
Ham,Lasha,6
Eber,Ham,6
Eber,Japheth,6
Aram,Japheth,5
Aram,Eber,5
Eber,Peleg,24
Peleg,Sheleph,5
Abimael,Sheleph,6
Abimael,Sheba,6
Jobab,Sheba,6
Jobab,Mesha,6
Mesha,Sephar,6
Sephar,Shem,5
Eber,Salah,6
Nahor,Peleg,4
Nahor,Terah,24
Haran,Terah,29
Haran,Nahor,11
Abram,Terah,11
Abram,Nahor,12
Abram,Sarai,46
Nahor,Sarai,6
Milcah,Nahor,12
Haran,Milcah,12
Milcah,Sarai,5
Sarai,Terah,5
Abram,Haran,33
Haran,Sarai,12
Abram,Lot,33
Abram,Hai,10
Abram,Pharaoh,26
Abram,menservants,6
Pharaoh,menservants,6
Abram,Gomorrah,4
Gomorrah,Lot,6
Lot,Sodom,6
Abram,Sodom,26
Abram,Amraphel,5
Amraphel,Elam,12
Bera,Elam,6
Bera,Shinab,6
Shinab,Zeboiim,6
Bela,Zeboiim,12
Bela,Chedorlaomer,11
Chedorlaomer,Rephaims,6
Enmishpat,Rephaims,4
Enmishpat,Zeboiim,5
Chedorlaomer,Elam,6
Amraphel,Sodom,5
Gomorrah,Sodom,23
Abram,Eshcol,6
Aner,Eshcol,6
Abram,Aner,6
Abram,Dan,6
Dan,Hobah,6
Hobah,Sodom,5
Chedorlaomer,Sodom,6
Chedorlaomer,Shaveh,6
Abram,Shaveh,5
Sodom,shoelatchet,6
Abram,shoelatchet,6
Abram,Rephaims,6
Hagar,Rephaims,5
Hagar,Sarai,16
Abram,Hagar,29
Sarai,Shur,9
Ishmael,Sarai,4
Beerlahairoi,Ishmael,4
Beerlahairoi,Hagar,6
Hagar,Ishmael,12
Abram,Ishmael,11
Abraham,Abram,6
Abraham,Sarai,6
Sarah,Sarai,5
Abraham,Sarah,154
Abraham,Ishmael,35
Ishmael,Sarah,15
Isaac,Sarah,34
Isaac,Ishmael,11
Nay,Sarah,5
Abraham,Nay,6
Abraham,Sodom,6
Abraham,Gomorrah,11
Abraham,Peradventure,9
Abraham,Lot,5
Lot,Nay,4
Abraham,Benammi,6
Abraham,Shur,6
Gerar,Shur,6
Abraham,Gerar,5
Abimelech,Sarah,28
Abimelech,Gerar,12
Gerar,Sarah,6
Abimelech,Abraham,81
Abimelech,menservants,6
Abraham,menservants,10
Abraham,Isaac,247
Hagar,Sarah,12
Abraham,Hagar,12
Abraham,bondwoman,12
Isaac,bondwoman,12
Beersheba,Hagar,6
Beersheba,God,2
God,Hagar,6
Abimelech,Hagar,3
Abraham,Beersheba,45
Abimelech,Beersheba,6
Abraham,Jehovahjireh,11
Abraham,Nahor,24
Buz,Nahor,5
Buz,Kemuel,6
Aram,Kemuel,6
Aram,Jidlaph,6
Bethuel,Jidlaph,6
Bethuel,Milcah,11
Milcah,Reumah,5
Gaham,Reumah,6
Gaham,Thahash,6
Sarah,Thahash,5
Abraham,Heth,59
Ephron,Heth,35
Ephron,Zohar,18
Abraham,Ephron,59
Isaac,Rebekah,68
Milcah,Rebekah,6
Abraham,Rebekah,30
Laban,Rebekah,21
Sarah,menservants,5
Abraham,Milcah,5
Abraham,Bethuel,5
Bethuel,Rebekah,11
Rebekah,Sarah,6
Abraham,Keturah,12
Keturah,Shuah,5
Sheba,Shuah,6
Keturah,Sheba,5
Ephron,Ishmael,6
Abraham,Zohar,6
Hagar,Isaac,6
Ishmael,Mibsam,6
Dumah,Mibsam,5
Dumah,Ishmael,6
Ishmael,Shur,4
Isaac,Shur,5
Bethuel,Laban,12
Isaac,Laban,16
Esau,Rebekah,14
Esau,Isaac,47
Esau,Jacob,108
Isaac,Jacob,90
Jacob,Rebekah,23
Abraham,Esau,5
Abimelech,Isaac,33
Gerar,Isaac,34
Gerar,Rebekah,6
Abimelech,Rebekah,10
Isaac,Lest,6
Abimelech,Lest,5
Beersheba,Isaac,14
Beersheba,Esau,5
Beeri,Esau,6
Beeri,Elon,6
Elon,Isaac,6
Esau,venison,6
Jacob,venison,6
Isaac,venison,7
Esau,Laban,5
Heth,Rebekah,6
Heth,Jacob,18
Heth,Isaac,5
Bethuel,Isaac,10
Abraham,Laban,12
Bethuel,Esau,6
Isaac,Nebajoth,6
Jacob,Nebajoth,6
Beersheba,Jacob,18
Beersheba,Haran,6
Abraham,Haran,5
Haran,Jacob,5
Nahor,Rachel,3
Lo,Rachel,10
Jacob,Rachel,88
Laban,Rachel,63
Jacob,Laban,179
Rachel,Rebekah,6
Laban,Leah,32
Leah,Rachel,63
Bilhah,Rachel,17
Leah,Simeon,5
Levi,Simeon,28
Judah,Levi,10
Judah,Rachel,6
Bilhah,Jacob,33
Dan,Rachel,12
Dan,Jacob,5
Naphtali,Rachel,10
Leah,Naphtali,6
Leah,Zilpah,12
Jacob,Zilpah,6
Jacob,Leah,55
Gad,Leah,12
Gad,Jacob,5
Asher,Leah,6
Asher,Reuben,6
Leah,Reuben,6
Issachar,Leah,10
Leah,Zebulun,6
Dinah,Zebulun,5
Dinah,Rachel,3
Laban,menservants,15
Jegarsahadutha,Laban,6
Jacob,Jegarsahadutha,6
Laban,Mizpah,10
Jacob,Nahor,6
Jacob,Mahanaim,12
Jacob,menservants,5
Abraham,Jacob,8
Jabbok,Jacob,9
Jacob,thou,8
Jacob,Penuel,11
Esau,Rachel,5
Esau,Leah,3
Joseph,Leah,6
Esau,Joseph,3
Jacob,Nay,6
Jacob,Succoth,12
Jacob,Shechem,45
Hamor,Shechem,69
Leah,Shechem,10
Hamor,Jacob,32
Jacob,Simeon,17
Jacob,Levi,10
Benoni,Rachel,4
Benjamin,Benoni,6
Benjamin,Rachel,6
Issachar,Judah,10
Issachar,Zebulun,6
Bilhah,Zebulun,6
Dan,Naphtali,6
Naphtali,Zilpah,6
Asher,Gad,12
Asher,Jacob,17
Elon,Jacob,5
Aholibamah,Elon,6
Aholibamah,Zibeon,6
Nebajoth,Zibeon,6
Nebajoth,Reuel,5
Aholibamah,Reuel,12
Aholibamah,Jeush,12
Jaalam,Jeush,12
Jaalam,Korah,18
Esau,Korah,6
Adah,Esau,6
Adah,Eliphaz,11
Eliphaz,Teman,12
Gatam,Teman,6
Gatam,Kenaz,12
Kenaz,Timna,6
Mizzah,Timna,5
Aholibamah,Mizzah,5
Aholibamah,Jaalam,6
Eliphaz,Korah,6
Kenaz,Teman,12
Amalek,Gatam,6
Amalek,Eliphaz,6
Adah,Zerah,5
Shammah,Zerah,6
Mizzah,Shammah,6
Mizzah,Reuel,6
Aholibamah,Korah,6
Aholibamah,Lotan,6
Dishon,Lotan,6
Dishon,Ezer,11
Ezer,Lotan,5
Hori,Lotan,12
Lotan,Timna,6
Timna,Zibeon,4
Dishon,Zibeon,5
Aholibamah,Dishon,12
Dishon,Eshban,6
Eshban,Ezer,5
Dishon,Hori,6
Beor,Hori,4
Bela,Beor,5
Bela,Jobab,6
Jobab,Zerah,11
Jobab,Temani,6
Hadad,Temani,5
Bedad,Hadad,6
Avith,Bedad,6
Avith,Hadad,5
Hadad,Saul,5
Baalhanan,Saul,6
Achbor,Baalhanan,6
Achbor,Mehetabel,5
Alvah,Mehetabel,5
Alvah,Elah,6
Elah,Pinon,6
Kenaz,Pinon,6
Bilhah,Teman,5
Bilhah,Zilpah,6
Joseph,Zilpah,6
Joseph,Shechem,4
Joseph,Reuben,28
Joseph,Judah,25
Jacob,Joseph,114
Jacob,Pharaoh,38
Judah,Pharaoh,7
Adullamite,Judah,15
Adullamite,Hirah,6
Hirah,Judah,6
Judah,Shuah,6
Onan,Shuah,3
Chezib,Onan,5
Chezib,Judah,5
Judah,Tamar,42
Judah,Onan,16
Lest,Tamar,11
Judah,Pharez,2
Pharez,Zarah,6
Joseph,Zarah,6
Joseph,Potiphar,6
Pharaoh,Potiphar,6
Joseph,Pharaoh,273
Pharaoh,bakemeats,11
Asenath,Joseph,24
Ephraim,Joseph,49
Ephraim,Pharaoh,4
Jacob,Lest,6
Joseph,Lest,5
Joseph,Nay,9
Joseph,Simeon,26
Benjamin,Simeon,6
Benjamin,Judah,16
Benjamin,Joseph,27
Benjamin,Pharaoh,13
Benjamin,Jacob,3
Beersheba,Joseph,5
Isaac,Joseph,10
Carmi,Jacob,5
Carmi,Jachin,6
Jachin,Zohar,12
Shaul,Zohar,12
Canaanitish,Shaul,12
Canaanitish,Judah,6
Onan,Zarah,11
Issachar,Onan,4
Issachar,Tola,6
Phuvah,Tola,6
Elon,Phuvah,6
Elon,Leah,6
Asher,Serah,6
Serah,Zilpah,6
Laban,Zilpah,6
Benjamin,Leah,6
Asenath,Ephraim,6
Asenath,Benjamin,6
Benjamin,Gera,6
Gera,Naaman,6
Naaman,Rachel,6
Bilhah,Naphtali,6
Bilhah,Laban,6
Jacob,Judah,16
Joseph,Rameses,6
Pharaoh,Rameses,6
Ephraim,Jacob,11
Ephraim,Reuben,6
Reuben,Simeon,6
Abraham,Ephraim,6
Angel,Isaac,6
Abraham,Angel,6
Dan,Issachar,6
Dan,Gad,5
Asher,Naphtali,6
Joseph,Naphtali,6
Ephron,Joseph,11
Leah,Rebekah,6
Heth,Leah,6
Abraham,Pharaoh,1
Asher,Benjamin,6
Levi,Pharaoh,8
Moses,Pharaoh,442
Moses,Reuel,10
Gershom,Moses,11
Gershom,Jacob,5
Jacob,Moses,25
Jethro,Moses,17
Jethro,bush,5
Moses,bush,11
Abraham,bush,3
Isaac,Moses,5
Abraham,Moses,9
Aaron,Moses,437
Aaron,Levite,6
Levite,Moses,4
Pharaoh,Zipporah,2
Moses,Zipporah,4
Aaron,Pharaoh,135
Pharaoh,minish,5
Moses,minish,5
JEHOVAH,Moses,5
Carmi,Pharaoh,6
Carmi,Reuben,6
Jachin,Reuben,6
Canaanitish,Simeon,6
Gershon,Levi,18
Gershon,Izhar,5
Izhar,Mushi,6
Levi,Mushi,6
Aaron,Levi,11
Izhar,Moses,6
Izhar,Korah,6
Korah,Mishael,6
Elzaphan,Mishael,6
Aaron,Elzaphan,6
Aaron,Nadab,12
Abiasaph,Nadab,6
Abiasaph,Phinehas,6
Aaron,Phinehas,6
Pharaoh,Shew,12
Pharaoh,blains,10
Moses,blains,11
Pharaoh,thou,6
Moses,thou,17
Moses,Rameses,3
Rameses,Succoth,6
Moses,Succoth,2
Lest,Pharaoh,6
Lest,Moses,5
Joseph,Moses,6
Etham,Joseph,5
Etham,Moses,4
Moses,Pihahiroth,6
Pharaoh,Pihahiroth,16
Miriam,Pharaoh,5
Aaron,Miriam,11
Miriam,Moses,5
Moses,Shur,6
Marah,Shur,5
Marah,Moses,6
Elim,Moses,9
Amalek,Moses,46
Joshua,Moses,29
Amalek,Hur,6
Hur,Moses,11
Aaron,Hur,12
Hur,Joshua,5
Amalek,Joshua,18
Gershom,Pharaoh,5
Jethro,Pharaoh,12
Abihu,Nadab,6
Abihu,Moses,16
Moses,Tarry,5
Aaron,Tarry,6
Aaron,Thummim,12
Moses,Uri,12
Hur,Uri,18
Hur,Judah,18
Aholiab,Judah,9
Aholiab,Dan,17
Aaron,Dan,8
Levi,Moses,6
Angel,Moses,6
Aaron,Angel,6
Joshua,Nun,6
Moses,Nun,6
Moses,shittim,9
Aholiab,Moses,17
shittim,snuffdishes,5
Aaron,Uri,5
Judah,Moses,6
Dan,Moses,6
Aaron,thou,5
